Terms,docFreq,postList
sejarah,2,"[26, 26]"
sejauh,1,[27]
sejuk,3,"[33, 12, 32]"
sejuknya,1,[27]
sejumlah,1,[15]
sekali,1,[30]
sekaligus,1,[7]
sekarang,1,[14]
sekitar,11,"[2, 31, 37, 33, 21, 34, 31, 6, 20, 20, 13]"
sekitarnya,1,[6]
selain,4,"[15, 32, 34, 35]"
selalu,2,"[1, 17]"
selama,1,[31]
selasa,1,[17]
selatan,1,[5]
selengkapnya,3,"[33, 0, 34]"
selesai,1,[5]
selfie,1,[4]
selo,1,[10]
seluas,1,[14]
seluncuran,1,[10]
